Image_Path,Image_Title,Image_Type,Image_Naturalness,Approach/avoid,Arousal,Familiarity,Interest,Mystery,Pleasantness,Prospect/refuge,Valence,Luminance,Contrast,Entropy,CIELAB-Lightness,CIELAB-Magenta-green,CIELAB-Blue-yellow,Fractal_Dimension
cave_001.jpg,cave_001,Cave,Nature,4.261146497,5.885350318,3.222929936,5.859872611,6.414012739,4.78343949,3.866242038,4.630573248,0.29237806,0.237490358,7.564422692,30.51899833,-1.030401887,4.257817093,1.813313929
cave_002.jpg,cave_002,Cave,Nature,5.037735849,5.446540881,3.375,6.1625,6.54375,5.446540881,4.325,5.540880503,0.342627084,0.246399815,7.667040375,36.16445629,4.099619216,11.17712762,1.830643397
cave_003.jpg,cave_003,Cave,Nature,4.622641509,5.754716981,3.3125,6.1375,6.41875,4.867924528,3.925,5.006289308,0.278286835,0.212632763,7.485340068,29.34688978,0.791670367,2.839734474,1.81482833
cave_004.jpg,cave_004,Cave,Nature,4.674846626,5.81595092,2.852760736,6.417177914,6.398773006,5.116564417,3.944785276,5.398773006,0.381482078,0.23636962,7.646708012,40.5534831,-5.394197908,27.6977338,1.847617421
cave_007.jpg,cave_007,Cave,Nature,4.770700637,5.630573248,3.070063694,6.146496815,6.789808917,4.859872611,3.936305732,5.23566879,0.261071327,0.250135339,7.148462602,27.0462156,4.054172217,12.76230179,1.804230745
cave_010.jpg,cave_010,Cave,Nature,4.670807453,6.130434783,3.316770186,6.186335404,6.670807453,4.956521739,3.832298137,5.217391304,0.180945303,0.173870456,6.790717723,18.76336778,9.556145852,-3.718650954,1.775024881
cave_012.jpg,cave_012,Cave,Nature,3.969135802,5.666666667,2.820987654,5.790123457,6.234567901,4.641975309,3.345679012,4.851851852,0.315013335,0.220089329,7.629744334,33.60107651,2.563161851,23.19838807,1.826640578
cave_014.jpg,cave_014,Cave,Nature,3.063694268,6.070063694,2.579617834,4.732484076,5.522292994,3.420382166,2.828025478,3.611464968,0.405158483,0.240134279,7.827376883,42.54558636,0.483144551,10.2748983,1.851996
cave_015.jpg,cave_015,Cave,Nature,5.75625,5.0625,3.375,7.05,6.5375,6.5375,5.06875,6.55,0.266940784,0.19881711,7.280247196,28.08422087,-0.904771187,2.484779806,1.810875046
cave_016.jpg,cave_016,Cave,Nature,3.540880503,5.811320755,3.169811321,4.729559748,5.905660377,3.899371069,3.113207547,4.245283019,0.376602052,0.195753331,7.484867703,40.13310166,2.739596618,11.01800336,1.851816124
cave_017.jpg,cave_017,Cave,Nature,3.923076923,6.108974359,2.788461538,5.698717949,6.205128205,4.602564103,3.243589744,4.711538462,0.306370033,0.182594914,7.290628163,33.15675653,4.326247209,15.18004664,1.832736058
cave_018.jpg,cave_018,Cave,Nature,3.621794872,5.615384615,2.929487179,4.615384615,5.147435897,3.730769231,3.474358974,4.141025641,0.461242887,0.205040136,7.705066814,48.73783933,1.841242329,9.276528315,1.867241172
cave_019.jpg,cave_019,Cave,Nature,3.993865031,5.564417178,3.049382716,4.771604938,5.043209877,4.134969325,3.62962963,4.496932515,0.372187525,0.210709638,7.690401437,39.32056654,0.22906924,3.526884708,1.845855779
cave_020.jpg,cave_020,Cave,Nature,2.373417722,6.582278481,2.107594937,4.398734177,5.018987342,2.911392405,2.082278481,3.044303797,0.281524481,0.181198696,6.975635986,30.05534283,4.857774314,15.24250237,1.827185864
cave_021.jpg,cave_021,Cave,Nature,4.956521739,6.037267081,3.055900621,6.52173913,6.621118012,5.229813665,4.440993789,5.49689441,0.291806089,0.167145159,7.266199995,30.96662767,-0.045252489,7.109033493,1.828809635
cave_022.jpg,cave_022,Cave,Nature,5.848484848,5.096969697,3.684848485,6.587878788,6.206060606,6.248484848,5.175757576,6.442424242,0.18928169,0.260351718,6.358765221,19.05023503,-0.902414435,1.758665319,1.750063231
cave_025.jpg,cave_025,Cave,Nature,4.341614907,5.894409938,2.720496894,5.937888199,6.670807453,4.621118012,3.683229814,4.937888199,0.254153003,0.191862714,7.328409255,26.96339221,-1.101576251,22.06328145,1.806964917
control_001.jpg,control_001,Control,Control,5.559006211,5.689440994,6.068322981,5.459627329,6.51552795,5.335403727,5.260869565,5.242236025,0.466001846,0.210314996,7.379951974,49.68738974,2.218151342,-19.51123152,1.863852982
control_002.jpg,control_002,Control,Control,5.17721519,5.506329114,5.860759494,5.189873418,6.297468354,4.943037975,4.993670886,4.955696203,0.221630012,0.174831557,6.989922025,23.04311754,2.6920091,-10.12926962,1.796813808
control_005.jpg,control_005,Control,Control,5.8375,5.05625,5.8625,5.63125,6.38125,5.525,5.725,5.575,0.483162998,0.203062451,7.562179016,51.38939207,2.838681917,-6.7205274,1.867681368
control_014.jpg,control_014,Control,Control,5.217948718,5.775641026,5.493589744,5.333333333,6.179487179,4.980769231,4.884615385,5.134615385,0.350725074,0.280711794,7.509559949,36.41700965,3.276653652,6.002954956,1.832808119
control_015.jpg,control_015,Control,Control,5.530864198,4.962962963,5.845679012,5.135802469,5.716049383,5.320987654,5.425925926,5.37654321,0.512711329,0.319220418,7.143373805,52.96299869,1.141247873,4.954798796,1.871431077
control_019.jpg,control_019,Control,Control,5.333333333,5.762820513,6.230769231,5.423076923,6.583333333,5.269230769,5.141025641,5.128205128,0.479912291,0.238081415,7.765070323,50.61056586,-1.111064747,-5.084535267,1.868747004
control_021.jpg,control_021,Control,Control,4.604938272,6.111111111,4.512345679,5.388888889,6.345679012,4.388888889,4.308641975,4.586419753,0.513019682,0.251238971,7.89339151,53.81149709,0.299072127,1.252035341,1.87370066
control_022.jpg,control_022,Control,Control,6.037037037,5,6.285714286,5.571428571,6.167701863,5.672839506,5.751552795,5.802469136,0.572400157,0.196209485,7.432621329,60.06826442,-0.313158101,-5.411470121,1.881957477
control_023.jpg,control_023,Control,Control,5.397515528,5.223602484,5.99378882,5.254658385,5.919254658,5.080745342,5.204968944,5.366459627,0.461851359,0.218272432,7.736271089,48.87195926,2.39763761,4.296473792,1.864774267
control_026.jpg,control_026,Control,Control,5.261146497,5.063694268,6.420382166,5.070063694,5.76433121,5.27388535,5.496815287,5.439490446,0.450905569,0.261429124,7.639067045,47.36932069,1.554727617,5.069531324,1.862453527
control_027.jpg,control_027,Control,Control,5.897435897,4.480769231,6.346153846,5.570512821,6.044871795,5.974358974,6.166666667,5.788461538,0.386191742,0.19385613,7.563736388,41.29470124,0.143679535,5.257160352,1.851796523
control_028.jpg,control_028,Control,Control,5.99382716,4.740740741,6.104938272,5.604938272,5.882716049,5.907407407,5.925925926,5.839506173,0.427357172,0.229155556,7.697364308,45.44031082,5.449353585,13.10571856,1.858885281
control_029.jpg,control_029,Control,Control,5.832298137,5.447204969,6.099378882,5.788819876,6.577639752,5.652173913,5.559006211,5.49689441,0.51293624,0.277089323,7.869942097,53.61821628,-2.530861943,-2.798158217,1.869720874
control_030.jpg,control_030,Control,Control,3.993865031,6.09202454,6.595092025,3.791411043,5.006134969,3.779141104,4.190184049,4.042944785,0.462308745,0.263783757,7.47939479,48.40336396,1.405875798,-6.078438358,1.864782699
control_031.jpg,control_031,Control,Control,4.327272727,5.351515152,5.206060606,3.915151515,4.363636364,4.163636364,4.363636364,4.242424242,0.463477803,0.218381915,7.474585796,48.85431371,-0.806553774,3.412706352,1.865182666
control_033.jpg,control_033,Control,Control,5.37654321,5.555555556,5.808641975,5.018518519,5.709876543,5.308641975,5.160493827,5.302469136,0.313766611,0.245841929,7.599883926,33.06290061,4.950130247,-11.77248776,1.82241661
control_034.jpg,control_034,Control,Control,5.875776398,4.838509317,6.527950311,5.111801242,5.093167702,5.683229814,5.782608696,5.677018634,0.436547299,0.245513723,7.554777535,45.73972701,-0.561590837,3.203783581,1.859072957
control_035.jpg,control_035,Control,Control,6.070063694,4.961783439,6.140127389,5.878980892,6.560509554,5.802547771,5.898089172,5.738853503,0.534501618,0.25145093,7.483566188,55.98722838,2.329465837,1.459708253,1.876882847
control_038.jpg,control_038,Control,Control,5.267515924,5.484076433,6.203821656,5.312101911,6.280254777,4.974522293,5.121019108,4.961783439,0.575610489,0.218578893,6.723977972,60.10209827,1.115764183,-6.120756686,1.883585943
control_039.jpg,control_039,Control,Control,5.771604938,5.5,6.086419753,5.672839506,6.327160494,5.679012346,5.5,5.50617284,0.370941728,0.281739486,7.764027602,38.89294714,4.382900679,0.882386544,1.839794522
control_041.jpg,control_041,Control,Control,5.417721519,5.253164557,6.449367089,5.202531646,6.139240506,5.14556962,5.240506329,5.265822785,0.350937737,0.190251192,7.50499148,37.18491448,0.192182419,2.868185549,1.844162757
control_042.jpg,control_042,Control,Control,4.284810127,5.449367089,6.487341772,4.240506329,5.35443038,4.430379747,4.582278481,4.411392405,0.550188296,0.269579775,7.556324711,57.19919469,0.400823309,0.968172748,1.878175442
control_044.jpg,control_044,Control,Control,5.213836478,4.974842767,6.081761006,4.817610063,5.880503145,5.13836478,5.27672956,5.163522013,0.466522413,0.215512898,7.588962234,49.191188,3.428320304,-5.46389483,1.865278734
control_045.jpg,control_045,Control,Control,5.234177215,5.658227848,6.164556962,5.392405063,6.493670886,4.943037975,5.151898734,5.158227848,0.559482135,0.194402404,7.384524971,58.86518587,0.719468638,-10.41114034,1.880272819
control_047.jpg,control_047,Control,Control,5.264150943,5.245283019,6.320754717,5.113207547,5.874213836,5.176100629,5.377358491,5.100628931,0.627324095,0.189729031,6.798727814,65.92844128,7.08844405,10.50367769,1.890257621
control_051.jpg,control_051,Control,Control,5.084337349,5.096385542,5.801204819,4.843373494,5.006024096,5.108433735,5.054216867,5.060240964,0.41322446,0.232618593,7.519984691,43.65406852,-7.39941611,1.71483958,1.857039808
control_053.jpg,control_053,Control,Control,6.229813665,5.093167702,6.130434783,6.279503106,6.850931677,6,6.01863354,5.962732919,0.557806776,0.226905574,7.763625016,58.38703211,-3.857897328,-3.927375302,1.879448867
control_056.jpg,control_056,Control,Control,5.233128834,5.852760736,6.073619632,5.558282209,6.797546012,4.895705521,4.90797546,5.067484663,0.476102761,0.182219175,7.545800545,50.43306937,-0.092600285,1.549378941,1.870775589
